raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Dr. Brentano,49,5,67,81.21044898,4.366693878
Wild Beast #2,49,7,59,97.86469388,1.348163265
King Homer,49,9,79,64.91297052,5.557823129
Calm Woman,49,11,79,65.917718,5.171762523
Convention Director,49,4,70,73.54410714,6.044642857
24-Year-Old Marge,49,5,64,86.39004082,3.644244898
Brian Setzer,49,6,71,75.96215986,4.692959184
ALIEN MAN,49,7,70,78.87285714,3.997142857
Class,49,19,64,93.71940924,0.828034372
Pita Saleswoman,48,15,66,87.262,1.883
Musician,48,6,59,94.7275,2.034166667
Landlady,48,4,63,83.6175,4.5775
Memory Wiggum,48,8,58,98.52,1.008333333
DOREET,48,11,68,82.55590909,2.828484848
Review Board Chairman,48,6,73,70.0525,5.475833333
Bullies,48,26,59,100.9736538,-0.365833333
Mr. Boylan,48,4,60,88.905,3.84
Michael Chabon,48,8,59,96.7575,1.254166667
RABBI RUDENSTEIN,48,8,58,98.52,1.008333333
Frink Wise Man,48,9,59,97.43416667,0.994166667
Tom Brady,48,7,54,104.7,0.359285714
Donut Man,48,5,55,100.1535,1.674833333
Geoff,48,11,62,93.13090909,1.353484848
Bosun Willie,48,5,65,82.5285,4.133166667
Herb Powell,48,10,65,87.4005,2.261166667
CLARK,48,4,69,73.0425,6.0525
Magic Johnson,48,7,68,80.025,3.800952381
Repo Man #1,48,8,61,93.2325,1.745833333
Camper Father,48,11,57,101.9434091,0.124318182
Cayman Islands Bank Guy,47,6,67,78.28416667,4.286276596
Wendell Borton,47,18,56,103.3847222,-0.512092199
Commercial Anncr,47,8,67,80.271875,3.522526596
Kevin Costner,47,12,54,105.6595833,-0.505053191
Memory Homer,47,13,56,102.3653846,-0.120425532
Townsfolk,47,11,57,99.89818182,0.387001934
PHONEY,47,4,68,72.50875,6.064840426
Shorts Homer,47,9,56,100.7344444,0.506241135
Lt. Adventure,47,5,77,58.694,7.407914894
Lance Bass,47,9,64,86.33444444,2.514751773
Ominous Announcer,47,6,58,94.48416667,2.026702128
Bald One,47,9,65,84.53444444,2.765815603
BUDDY,47,6,66,80.08416667,4.035212766
Substitute Teacher,47,11,56,101.6981818,0.135938104
NED,47,10,61,92.2645,1.557893617
David Copperfield,47,6,64,83.68416667,3.533085106
FORTE,47,11,61,92.69818182,1.391257253
Debbie Pinson,47,8,63,87.471875,2.518271277
Arthur Crandall,47,9,63,88.13444444,2.263687943
New Health Inspector,47,9,69,77.33444444,3.770070922
ROBOT WARS ANNOUNCER #2,47,8,71,73.071875,4.526781915
Butler,47,12,60,94.85958333,1.001329787
Teenage Clerk,47,12,58,98.45958333,0.499202128
Bashir,47,10,64,86.8645,2.311085106
Fallout Boy,47,9,73,70.13444444,4.774326241
Johnny Rotten,46,5,60,87.14917391,3.389304348
Wise Old Cat,46,1,49,70.0276087,14.91956522
1st Sportscaster,46,6,70,70.3142029,5.356521739
Katja,46,7,63,84.29978261,3.133726708
Clarence Nitbaum,46,2,59,74.98130435,8.514782609
Adult Kearney,46,8,64,83.29440217,3.069891304
Calvin,46,4,53,97.68858696,2.490652174
Robot #2,46,7,66,78.7823913,3.903291925
Flint Drywall,46,6,56,96.06202899,1.765217391
Milhouse Slug,46,5,54,98.18395652,1.850173913
King David,46,6,59,90.54463768,2.534782609
TV ANNOUNCER #3 CONT'D,46,3,66,69.88905797,7.320434783
Irish Locals,46,5,52,101.8622174,1.337130435
Cyrus,46,5,50,105.5404783,0.824086957
Event Announcer,46,4,70,66.42336957,6.851521739
Stanley,46,5,57,92.66656522,2.61973913
Male Activist,46,7,61,87.97804348,2.62068323
Fritz,46,10,65,82.62252174,2.877913043
Casey,46,8,56,98.00744565,1.017717391
Ticket Seller,46,13,57,98.41302676,0.41173913
Deep Mysterious Voice,46,7,56,97.17369565,1.338074534
Richie Sakai,46,5,64,79.79265217,4.415391304
Teenage Nelson,46,11,53,105.1165415,-0.363438735
Buddy Love,45,9,50,107.76,-0.528888889
Mall Executive,45,11,60,89.88272727,1.738787879
Hideous Alien #1,45,9,59,90.84,1.831111111
King Nelson,45,11,56,97.40272727,0.68989899
Espn-style Anchorman #1,45,5,66,73.62,5.226666667
Adult Narrator,45,5,57,90.54,2.866666667
Krustys,45,7,66,76.23,4.223809524
Kurt Loder,45,5,68,69.86,5.751111111
Revue Cast Members,45,8,56,95.845625,1.288194444
Angela,45,8,53,101.485625,0.501527778
Standup,45,11,53,103.0427273,-0.096767677
Hostess,45,6,59,88.3025,2.806111111
Volunteer,45,10,58,93.2275,1.373888889
Appraiser,45,4,64,75.09625,5.579722222
Teenage Attendant,45,9,56,96.48,1.044444444
Nascar Announcer,45,8,59,90.205625,2.074861111
Halpern,45,13,51,107.4415385,-0.866666667
SALESGUY,45,4,53,95.77625,2.695277778
Dr. Wilmore,45,5,57,90.54,2.866666667
Bank Employee,45,8,62,84.565625,2.861527778
Armando,45,5,58,88.66,3.128888889
Cora,45,9,51,105.88,-0.266666667
Katelyn,45,8,59,90.205625,2.074861111
Theater Actor,45,5,66,73.62,5.226666667
Talk Show Host,45,7,56,95.03,1.601587302
Family,45,8,66,77.045625,3.910416667
Robin Williams,45,7,66,76.23,4.223809524
Bernard,45,11,50,108.6827273,-0.883434343
Thought Bubble Lenny,45,7,50,106.31,0.028253968
Agent #1,45,7,71,66.83,5.534920635
Young Exec,45,10,58,93.2275,1.373888889
Uncle Sam,44,5,60,82.53936364,3.932909091
Executioner,44,7,52,100.4731818,0.806883117
Danish Sales Rep,44,10,57,92.77354545,1.412363636
Oscar Wilde,44,3,61,74.6619697,6.489090909
Bing Crosby,44,8,55,95.5025,1.305
PRINCIPAL HEAD #1,44,4,61,78.38363636,5.059090909
Ms. Marshall,44,6,58,87.87348485,2.824545455
Connie,44,4,63,74.53818182,5.595454545
Ticketing Agent,44,7,60,85.09136364,2.952337662
Mark Zuckerberg,44,11,58,91.25681818,1.524545455
Challenger,44,4,69,63.00181818,7.204545455
"Adult ""Bart""",44,5,50,101.7666364,1.251090909
Julian Assange,44,6,61,82.10530303,3.629090909
Cassandra,44,8,59,87.81159091,2.377727273
Circe,44,8,55,95.5025,1.305
Croupier,44,16,61,86.75738636,1.841590909
Worker #2,44,7,58,88.93681818,2.415974026
Male Host,44,4,64,72.61545455,5.863636364
Irish Judge,44,4,71,59.15636364,7.740909091
Oak Ridge Engineer,43,14,61,83.70354651,2.347392027
Lizzie Borden,43,3,62,70.30527132,7.013953488
Mimi,43,2,61,64.99854651,9.534534884
Father Donnelly,43,8,53,97.1049564,1.050436047
Boxing Announcer #2,43,3,71,52.59829457,9.48372093
Lisa Puppy,43,17,58,90.15601915,1.312749658
ORIGINAL HOMER,43,9,52,99.67857881,0.543100775
Suzanne Somers,43,4,52,93.61677326,2.872267442
Krusty,43,3,57,80.14248062,5.641860465
Animal Handler,43,6,50,101.1887403,0.925930233
Darryl Strawberry,43,13,50,105.1055993,-0.579069767
Linda McCartney,43,4,58,81.81212209,4.51877907
Backpack Kid,43,10,57,90.32631395,1.728860465
Weasel #1,43,13,52,101.1707156,-0.030232558
Anchorman,43,5,58,83.99437209,3.68027907
Juliana Krellner,43,7,60,82.55348837,3.270830565
Sidekick,43,10,58,88.35887209,2.00327907
MR. SMITH/MEL,43,9,57,89.84136951,1.915193798
German Backpacker,43,9,51,101.6460207,0.268682171
Attractive Woman,43,9,51,101.6460207,0.268682171
Beautiful French Lady,43,7,50,102.227907,0.526644518
Navy Seal,43,7,55,92.39069767,1.898737542
Man In Suit,43,9,65,74.10183463,4.110542636
Woman's Voice,43,16,68,70.32114099,4.118590116
MCGARNIGAL,43,7,49,104.1953488,0.252225914
Gerry Cooney,43,5,66,68.25483721,5.875627907
Beekeeper #2,43,7,53,96.3255814,1.349900332
JOE C.,43,7,46,110.0976744,-0.5710299
Sad-looking Frenchman,43,6,60,81.51432171,3.670116279
JIM IGNATOWSKI,43,7,57,88.45581395,2.447574751
JERRY,43,6,52,97.25385659,1.474767442
NDND,42,6,60,78.87285714,3.997142857
Salesclerk,42,6,49,101.03,0.906666667
Boys,42,31,57,90.645553,0.952672811
Anita,42,7,52,96.00214286,1.35952381
Reporter #3,42,6,55,88.94428571,2.592380952
Steve Sax,42,6,53,92.97285714,2.03047619
Movie Narrator,42,4,54,87.40607143,3.676428571
Robot Doctor,42,4,56,83.3775,4.238333333
Sideshow Bob's Father,42,6,65,68.80142857,5.401904762
Councilman #1,42,9,66,69.15547619,4.772857143
Mr. Hazelwood,42,5,59,79.46614286,4.262190476
Engineer #2,42,4,65,65.24892857,6.766904762
Flanders's Thoughts,42,9,53,95.34119048,1.12047619
Presidents,42,8,71,58.49196429,6.405119048
JANEANE,42,7,49,102.045,0.516666667
Brazilian Man,42,5,60,77.45185714,4.543142857
Brian Grazer,42,4,60,75.32035714,5.362142857
Jamaican Singers,42,2,42,100.92,4.4
Key Man,42,5,53,91.55185714,2.57647619
Older Chinese Man,41,6,49,98.79184959,1.177439024
Lady Marjorie,41,3,45,100.1096748,2.691219512
British Raj Man,41,7,50,97.71926829,1.084529617
Apu II,41,3,63,62.96821138,7.871707317
Nancy O'Dell,41,5,53,89.15102439,2.861658537
Mrs. Bloominstein,41,5,56,82.96078049,3.725073171
Boss,41,8,50,98.46239329,0.798993902
IMAGINER,41,8,48,102.5892226,0.223384146
CHANTEUSE,41,4,48,97.38734756,2.222134146
Ken Burns,41,6,60,76.09428862,4.343292683
The Serpent,41,5,53,89.15102439,2.861658537
Agency Clerk,41,7,56,85.33878049,2.811358885
Grave-digger,41,8,52,94.33556402,1.374603659
Teenage Selma,41,5,54,87.08760976,3.149463415
Sentry,41,8,62,73.70141768,4.252652439
Creepy English Boy #2,41,7,54,89.46560976,2.235749129
Sinister Man,41,5,48,99.46809756,1.422634146
Itchy & Scratchy Singers,41,2,45,93.17384146,5.356219512
Bill Cosby,41,6,44,109.1089228,-0.261585366
Sailor,41,8,50,98.46239329,0.798993902
Andy Hamilton,41,9,54,90.78672087,1.728130081
CALLIOPE,41,9,51,96.97696477,0.864715447
Clownface,41,8,45,108.7794665,-0.640030488
Smug Salesman,41,6,54,88.47477642,2.616463415
Wolfgang Puck,41,8,45,108.7794665,-0.640030488
Elderly Gentleman,41,7,59,79.14853659,3.674773519
Lord Upton,41,6,53,90.53819106,2.328658537
Christian Teacher,41,8,56,86.08190549,2.525823171
Roberto Dinero,41,8,53,92.27214939,1.662408537
Hugh Hefner,41,6,61,74.03087398,4.631097561
Joey Kramer,41,7,53,91.52902439,1.947944251
KID DEMON,41,9,49,101.103794,0.289105691
Ian,41,4,62,68.49954268,6.251402439
Mutt,40,9,63,69.07888889,4.728333333
Grizzled Guy,40,5,49,95.08,1.985
Old Jazz Musician,40,5,52,88.735,2.87
Serious Announcer,40,3,69,47.36666667,9.965
Don Mattingly,40,12,45,108.2766667,-1.015
WISEGUY VENDOR,40,13,56,85.27192308,2.13
Thought Bubble Marge,40,13,52,93.73192308,0.95
Committee Chairwoman,40,4,50,90.935,3.06
Dixie Chicks,40,12,60,76.55166667,3.41
Thelonious,40,8,51,93.895,1.405
Mark McGwire,40,7,47,101.63,0.503571429
Ebenezer Burns,40,7,50,95.285,1.388571429
Network Executive,40,5,56,80.275,4.05
Female Ensign,40,6,60,73.16833333,4.71
Melody,40,7,52,91.055,1.978571429
Kim,40,6,42,111.2383333,-0.6
Preacher,40,3,49,89.66666667,4.065
Poor Violet,40,7,50,95.285,1.388571429
Protestant Minister,40,2,57,65.98,9.025
Security Guard #2,40,7,51,93.17,1.683571429
Proprietor,40,6,48,98.54833333,1.17
20-something Wife,40,11,50,97.39409091,0.578181818
Fat One,40,4,48,95.165,2.47
Head Caterer,40,5,55,82.39,3.755
Sisters,40,12,49,99.81666667,0.165
Meredith Milgram,40,6,54,85.85833333,2.94
Art Spiegelman,40,7,53,88.94,2.273571429
Customer #1,40,5,50,92.965,2.28
Storekeeper,40,5,50,92.965,2.28
Tobacco Lobbyist,40,7,55,84.71,2.863571429
Roberta,39,5,46,99.13338462,1.369948718
Just Stamp the Ticket Man,39,7,50,92.71846154,1.711062271
"Waylon Smithers, Sr.",39,7,52,88.38,2.316190476
Facilitator,39,5,52,86.118,3.185333333
2nd Sportscaster,39,4,45,99.32336538,1.827884615
Sabine,39,5,50,90.45646154,2.580205128
Rap Singer,39,1,40,80.48076923,11.7225641
Lee Marvin,39,4,45,99.32336538,1.827884615
ELEANOR,39,9,53,87.4674359,2.135897436
Pleasant Cellmate,39,5,54,81.77953846,3.790461538
Bojangles,39,7,48,97.05692308,1.105934066
Irish Pilot,39,5,56,77.44107692,4.395589744
Randy Bachman,39,5,60,68.76415385,5.605846154
Lisa Leslie,39,6,46,100.4528846,0.862948718
Swedish Bartender,39,10,56,81.39957692,2.874589744
British Woman,39,6,56,78.76057692,3.888589744
Dr. Smith,39,7,43,107.9030769,-0.406886447
Contestants,39,6,50,91.77596154,2.073205128
Mr. Stanky,39,7,56,79.70307692,3.526446886
Car,39,7,57,77.53384615,3.829010989
Copy Writer,39,6,55,80.92980769,3.586025641
Shelbyville,39,5,48,94.79492308,1.975076923
Max Weinberg,39,7,49,94.88769231,1.408498168
Mildred,39,6,47,98.28365385,1.165512821
DRILL SGT.,39,7,60,71.02615385,4.736703297
Spider-Man,39,7,55,81.87230769,3.223882784
HILLBILLY M.C.,39,5,56,77.44107692,4.395589744
Writer #2,39,7,57,77.53384615,3.829010989
Scholar,38,7,48,94.46184211,1.432406015
Old Bart,38,8,43,106.2821711,-0.384868421
Indian Workers,38,25,56,80.61851579,2.392273684
Bus Tour Guide,38,6,48,93.54350877,1.785263158
Agent #2,38,7,56,76.65131579,3.916616541
Junior,38,7,53,83.33026316,2.985037594
Arab Woman,38,7,42,107.8197368,-0.43075188
Ms. Dubinsky,38,6,56,75.73298246,4.269473684
James Patterson,38,4,46,94.78197368,2.399210526
Movementarians,38,12,54,83.3997807,2.413421053
Cadets,38,14,54,83.85894737,2.236992481
Pit Boss,38,10,55,80.53063158,2.970947368
Country Preacher,38,1,44,70.30710526,12.89315789
Stranger,38,12,57,76.72083333,3.345
SHERRI/TERRI/THEIR SOULS,38,2,47,82.91315789,6.414736842
GRANDMA,38,11,52,87.56021531,1.904641148
Old-style Operator,38,4,52,81.42407895,4.262368421
Tintin,38,5,55,76.67363158,4.452947368
Gerald,38,5,54,78.89994737,4.142421053
Older Exec,38,5,49,90.03152632,2.589789474
Homer's Mind,38,7,48,94.46184211,1.432406015
Korean Singer,38,0,46,#NAME?,inf
Buddha,38,6,55,77.95929825,3.958947368
CRANDALL,38,8,53,84.01901316,2.720394737
Astronaut Pitchman,38,3,49,84.88885965,4.565789474
Jamie,38,4,48,90.32934211,3.020263158
Counter Boy,38,8,45,101.8295395,0.236184211
Fema Official,38,3,52,78.20991228,5.497368421
Detective #2,38,10,39,116.1516842,-1.997473684
Lead Singer,38,11,47,98.69179426,0.352009569
John Entwistle,38,9,47,97.91260234,0.651403509
Einstein Lisa,38,5,46,96.71047368,1.658210526
Willis,38,7,49,92.23552632,1.742932331
Male Dmv Suit,38,10,45,102.7937895,-0.134315789
Pastor Lovejoy,38,3,51,80.43622807,5.186842105
LeBron James,38,6,42,106.9014035,-0.077894737
Moses,38,4,53,79.19776316,4.572894737
Reverend,38,7,46,98.91447368,0.811353383
Desk Clerk,38,7,49,92.23552632,1.742932331
Anne of Cleves,38,8,41,110.7348026,-1.005921053
Gino,38,22,72,44.78708134,7.4415311
Mobster,38,5,54,78.89994737,4.142421053
Game Warden,38,3,46,91.56780702,3.634210526
Swashbuckler,38,7,49,92.23552632,1.742932331
Beautiful Woman,38,4,47,92.55565789,2.709736842
Anderson Cooper,37,5,72,34.69697297,10.25816216
Gunter,37,5,47,91.85913514,2.285189189
Pompous Explorer,37,4,57,67.11652027,6.195878378
German Scientist,37,4,54,73.97597973,5.239121622
Storytime Sue,37,8,44,101.5352196,0.246182432
Asa,37,5,52,80.4267027,3.879783784
Japanese Worker #2,37,9,54,79.19195195,3.234954955
Avatar Milhouse,37,9,52,83.76492492,2.597117117
Krusty Clock,37,12,41,109.9594707,-1.311824324
Representative,37,6,61,61.10015766,6.269054054
Ticket Vendor,37,6,49,88.5379955,2.442027027
Mr. Sparkle,37,8,39,112.967652,-1.348412162
Mechanical Santa,37,21,37,120.4466667,-3.102857143
Wedding Planner,37,10,51,86.46868919,2.117864865
Head Of Duff,37,4,54,73.97597973,5.239121622
Superspy,37,9,55,76.90546547,3.553873874
Wanda,37,4,44,96.84084459,2.049932432
David Crosby,37,6,49,88.5379955,2.442027027
Dental Assistant,37,6,55,74.81907658,4.355540541
Cheerleader,37,7,42,105.4375676,-0.133976834
4-h Judge,37,7,39,112.297027,-1.090733591
Hard-bitten Man,37,9,56,74.61897898,3.872792793
Scientist-type,37,7,47,94.00513514,1.460617761
David Lander,37,8,50,87.81630068,2.159695946
Cable Announcer,37,4,63,53.39760135,8.109391892
Cracker Executive,37,6,52,81.67853604,3.398783784
Hippie,37,7,45,98.57810811,0.822779923
James Brown,37,4,41,103.7003041,1.093175676
Witney Spuckler,37,4,48,87.69489865,3.325608108
Young Flanders,37,3,52,75.41936937,5.803783784
Clara,37,9,49,90.62438438,1.64036036
Robert A. Caro,37,2,54,64.58722973,8.846621622
Al Gore,37,5,49,87.28616216,2.923027027
Marley,37,6,43,102.2569144,0.528513514
John Travolta,37,10,39,113.906527,-1.709162162
11-Year-Old Moe,37,5,43,101.0050811,1.009513514
Lady,37,5,46,94.14562162,1.96627027
Peddler,36,8,48,89.4675,1.898333333
Sweet Elderly Lady,36,6,43,99.695,0.844444444
Strange Man,36,3,43,93.605,3.184444444
Woman In Audience,36,3,42,95.955,2.856666667
Roy,36,13,51,84.17423077,2.206666667
Roxie,36,4,52,75.5,4.964444444
Shelbyville Grampa,36,3,50,77.155,5.478888889
Tv Voice #1,36,8,53,77.7175,3.537222222
British Guy,36,5,49,84.377,3.279111111
Cardinal Flanders,36,5,53,74.977,4.590222222
Museum Employee,36,5,47,89.077,2.623555556
Female Crowd Members,36,14,41,107.875,-1.148253968
Archie Bunker,36,5,41,103.177,0.656888889
Taxi Driver,36,6,58,64.445,5.761111111
Texan Man,36,2,47,78.115,6.835555556
Gondola Driver,36,5,40,105.527,0.329111111
Squishee Lady,36,6,48,87.945,2.483333333
Figure,36,6,42,102.045,0.516666667
8-Year-Old Lenny,36,3,44,91.255,3.512222222
Fireman,36,5,51,79.677,3.934666667
Gangsters/molls,36,8,40,108.2675,-0.723888889
Dj3000,36,7,42,102.915,0.182380952
1986 Cecil,36,4,50,80.2,4.308888889
Jockey #2,36,8,43,101.2175,0.259444444
Donna,36,6,39,109.095,-0.466666667
Commanding-voiced Man,36,1,36,85.695,10.25
Alex Trebek,36,6,48,87.945,2.483333333
Mr. Boswell,36,2,46,80.465,6.507777778
Grumple,36,5,43,98.477,1.312444444
Salesperson,36,8,50,84.7675,2.553888889
Chinese Dragon,36,6,44,97.345,1.172222222
Jeremy,36,7,44,98.215,0.837936508
Kelly,36,8,48,89.4675,1.898333333
Richard,36,11,49,88.36318182,1.747474747
Harlan Ellison,35,3,46,83.8047619,4.468571429
Documentary Narrator,35,3,51,71.71904762,6.154285714
Cartoon Dog,35,13,47,90.49659341,1.305714286
Boy #2,35,4,48,81.93089286,4.005357143
Little Girls,35,2,37,99.63821429,3.709285714
Benjamin Franklin,35,7,52,76.06857143,3.891428571
Goatee Chinese Spy,35,4,38,106.1023214,0.633928571
Scientist #1,35,8,46,91.20580357,1.624821429
Lisa's Reflection,35,3,45,86.22190476,4.131428571
ORIGINAL GHOST HOMER,35,8,42,100.874375,0.27625
WILLIAM CONRAD-STYLE NARRATOR,35,3,46,83.8047619,4.468571429
Fatso,35,7,45,92.98857143,1.531428571
Chinese Restaurateur,35,6,41,101.8113095,0.507857143
Nichelle Nichols,35,2,42,87.5525,5.395
Patches,35,6,46,89.72559524,2.193571429
Second Officer,35,4,40,101.2680357,1.308214286
Freaks,35,14,35,119.6975,-2.815
Real Estate Agent,35,5,51,76.45571429,4.334285714
Hezron,35,7,47,88.15428571,2.205714286
SARAH SILVERMAN,35,5,43,95.79285714,1.637142857
Ed McMahon,35,6,56,65.55416667,5.565
Street Musician,35,3,41,95.89047619,2.782857143
Amer-asian Girl,35,4,47,84.34803571,3.668214286
Lance Armstrong,35,3,48,78.97047619,5.142857143
Young Armin,35,8,45,93.62294643,1.287678571
Grandpappy,35,4,48,81.93089286,4.005357143
Cadet Platt,35,6,42,99.39416667,0.845
Man With Braces,35,6,45,92.1427381,1.856428571
Women,35,11,38,111.754026,-1.537662338
2nd Ethereal Being,35,4,57,60.17660714,7.039642857
YOUNG RITA,35,10,42,101.7625,-0.065
Maya Angelou,35,3,46,83.8047619,4.468571429
BOOK CLUB MEMBER,35,3,46,83.8047619,4.468571429
Yoga Master,35,6,52,75.2227381,4.216428571
Ludacris,35,6,53,72.80559524,4.553571429
Old People,35,7,39,107.4914286,-0.491428571
Victor,35,4,43,94.01660714,2.319642857
PEDICAB DRIVER,35,4,42,96.43375,1.9825
Calypso Singer,35,1,43,67.37285714,12.55714286
LRRR,35,5,47,86.12428571,2.985714286
Michael Stipe,35,7,39,107.4914286,-0.491428571
RADIO WEATHER MAN,35,5,50,78.87285714,3.997142857
Cabbie,35,7,36,114.7428571,-1.502857143
Harlot,35,5,40,103.0442857,0.625714286
Ricky Jay,35,7,43,97.82285714,0.857142857
Emergency Operator,34,5,39,102.8918235,0.597294118
Melanie Griffith,34,9,35,115.9123203,-1.969607843
16-Year-Old Wiggum,34,6,43,94.08921569,1.543529412
3-Year-Old Homer,34,7,37,109.8402941,-0.854537815
Indian Worker #1,34,7,45,89.93441176,1.921932773
REGULAR GHOST LISA,34,6,51,74.18333333,4.32
YOUNG MOLEMAN,34,6,42,96.57745098,1.196470588
Ira Glass,34,7,46,87.44617647,2.268991597
Michael Clark Duncan,34,6,41,99.06568627,0.849411765
Yao Ming,34,6,42,96.57745098,1.196470588
James L. Brooks,34,8,38,107.9683088,-0.744264706
CARTOON MAN,34,5,52,70.54476471,5.109058824
Marlin,34,4,39,101.1663235,1.260294118
Range-rover Mom,34,4,47,81.26044118,4.036764706
Bridal Saleslady,34,4,39,101.1663235,1.260294118
DR MONROE,34,6,44,91.60098039,1.890588235
Roger Clemens,34,8,39,105.4800735,-0.397205882
Young Patty,34,4,41,96.18985294,1.954411765
Iggy Wiggum,34,3,47,78.38460784,5.141764706
Shoppers,34,5,39,102.8918235,0.597294118
Dia-Betty,34,4,39,101.1663235,1.260294118
GUS HUEBNER,34,6,38,106.5303922,-0.191764706
SMOOTH ANNOUNCER,34,4,47,81.26044118,4.036764706
Mao,34,10,42,98.87811765,0.312470588
Willie's Dad,34,4,42,93.70161765,2.301470588
SCRAPER,34,4,45,86.23691176,3.342647059
Allen,34,9,44,93.51820261,1.153921569
Convict,34,8,42,98.01536765,0.643970588
NORBERT,34,5,41,97.91535294,1.291411765
Señor Ding-Dong,34,6,43,94.08921569,1.543529412
Demonstrator #1,34,6,45,89.1127451,2.237647059
Dispatcher,34,10,59,56.57811765,6.212470588
Saleslady,34,4,45,86.23691176,3.342647059
Marguerite,34,6,40,101.5539216,0.502352941
Fretful Mother,34,2,44,80.09764706,6.310588235
Sad-looking Woman,34,5,46,85.47417647,3.026705882
Hunk,34,2,39,92.53882353,4.575294118
Ozzie Smith,34,11,43,96.70360963,0.538983957
HARRY CHAPIN-TYPE SINGER,33,0,37,#NAME?,inf
Craig,33,7,46,84.12272727,2.697056277
ARI,33,6,44,88.4525,2.288333333
Old Board Member,33,5,46,82.20872727,3.432484848
Trucker #3,33,9,41,98.00424242,0.500606061
Nrc Woman,33,4,48,75.40670455,4.791136364
Committee Woman,33,5,44,87.336,2.717333333
Crabby,33,4,38,101.0430682,1.215378788
Blue Genie,33,8,49,77.02994318,3.539962121
Squeaky-Voiced British Teen,33,6,41,96.14340909,1.215606061
Joe,33,7,39,102.0681818,0.194025974
Wildlife Host,33,3,39,95.68818182,2.645454545
Soldier,33,6,48,78.19795455,3.718636364
Mrs. Prince,33,4,37,103.6067045,0.85780303
John C. Reilly,33,6,37,106.3979545,-0.21469697
Mc,33,6,49,75.63431818,4.076212121
Game Developer,33,3,42,87.99727273,3.718181818
Texas Owner,33,10,41,98.37640909,0.357606061
Baha Men,33,17,33,120.2647059,-3.032941176
Grizzled Old Salt,33,3,35,105.9427273,1.215151515
Hippie-looking Guy,33,8,49,77.02994318,3.539962121
Young Ned,33,11,37,108.9354545,-1.18969697
Death,33,10,38,106.0673182,-0.715121212
Coast Guard Guy,33,6,43,91.01613636,1.930757576
Players,33,13,43,94.0220979,0.775757576
Homer Effigy,33,8,41,97.53903409,0.679356061
Top Hat Announcer,33,4,54,60.02488636,6.936590909
Princess Opal,33,3,47,75.17909091,5.506060606
Bookstore Clerk,33,4,45,83.09761364,3.718409091
Mr. Ogden,33,4,42,90.78852273,2.645681818
Kiefer Sutherland,33,9,46,85.18606061,2.288484848
Nasa Announcer #2,33,3,46,77.74272727,5.148484848
Ezra,33,4,39,98.47943182,1.572954545
Thought Bubble Apu,33,4,44,85.66125,3.360833333
Somber Announcer,33,4,44,85.66125,3.360833333
Students,33,16,39,104.7597443,-0.840170455
Cow Flanders,33,7,40,99.50454545,0.551601732
Mom,33,6,34,114.0888636,-1.287424242
Old Krusty,33,7,43,91.81363636,1.624329004
Commentator,33,5,45,84.77236364,3.074909091
Exchange Student,33,6,36,108.9615909,-0.572272727
Ham,33,6,43,91.01613636,1.930757576
Bob Dole,33,5,38,102.7178182,0.571878788
Lionel Richie,33,3,39,95.68818182,2.645454545
SECURITY THUG #2,33,4,40,95.91579545,1.930530303
Criminal #3,33,3,39,95.68818182,2.645454545
Man In Dinner Jacket,33,9,40,100.5678788,0.143030303
BELLE/DANCERS,33,2,37,95.23295455,4.07530303
ROBBER,33,7,40,99.50454545,0.551601732
Sheriff Lisa,33,5,42,92.46327273,2.002181818
Man In Tuxedo,33,6,47,80.76159091,3.361060606
Hombre,33,3,42,87.99727273,3.718181818
Lise,33,7,42,94.37727273,1.266753247
Jury Foreman,33,6,43,91.01613636,1.930757576
Bob Denver,33,4,41,93.35215909,2.288106061
Elderly Woman,33,12,43,93.80738636,0.858257576
Girl #1,33,8,47,82.15721591,2.824810606
Canadian Man,33,7,40,99.50454545,0.551601732
Different Announcers,33,1,34,86.17636364,9.437575758
HOMER THOUGHTS,32,8,41,94.38125,1.08875
Old Italian Woman,32,3,45,77.03958333,5.16375
Derby Announcer,32,7,37,104.37625,-0.163392857
1940S ANNOUNCER,32,4,45,79.74625,4.12375
Female Dj,32,7,39,99.08875,0.574107143
Contestant,32,4,38,98.2525,1.5425
Helen Fielding,32,4,47,74.45875,4.86125
Gym Teacher,32,4,39,95.60875,1.91125
Charbonneau,32,6,39,98.31541667,0.87125
Questo,32,8,42,91.7375,1.4575
Tape Player,32,2,51,55.76375,9.45625
Dr. Kaufman,32,5,37,102.52025,0.54975
Writer #1,32,4,45,79.74625,4.12375
Creepy Little Girl,32,7,41,93.80125,1.311607143
Homer Actor,32,5,46,78.7265,3.8685
Tall Cowboy,32,4,46,77.1025,4.4925
Congressman #1,32,4,46,77.1025,4.4925
Wacky Dog,32,4,36,103.54,0.805
Cyndi Lauper,32,7,39,99.08875,0.574107143
12-Year-Old Lou,32,3,43,82.32708333,4.42625
Customs Official,32,9,44,86.90111111,2.021666667
Assistant G.K. Skinner,32,4,47,74.45875,4.86125
New Jersey Patrolman,32,6,37,103.6029167,0.13375
Line Man,32,5,47,76.08275,4.23725
NICE FAMILY,32,8,36,107.6,-0.755
Squealer,32,8,38,102.3125,-0.0175
William H. Macy,32,7,45,83.22625,2.786607143
Ice Dancers,32,0,34,#NAME?,inf
